substation,category,n_reps,connections,participation_pct,bill_baseline_tk,saving_tk,saving_pct,mean_saving_per_connection_tk,discomfort_tk,qoe_mean,curtailed_kwh
Dhanmondi,Commercial,96.0,3528.933699870044,54.166666666666664,247874096.79793492,16777430.522988427,6.7685291604573194,4754.249286011315,24140830.126843177,0.934894345947705,1040267.269530533
Dhanmondi,Educational,36.0,1178.6226757857057,0.0,55293607.12271432,0.0,0.0,0.0,0.0,1.0,0.0
Dhanmondi,Government,20.0,802.1669568601163,0.0,52177157.857688725,0.0,0.0,0.0,0.0,1.0,0.0
Dhanmondi,Hospital,36.0,173.32898052918324,0.0,55385000.67367382,0.0,0.0,0.0,0.0,1.0,0.0
Dhanmondi,Industrial,8.0,115.82869586163048,37.5,8755069.57092015,218062.78305209422,2.4907030296639436,1882.6317729813093,374890.1905408033,0.978624014898273,16314.127337155842
Dhanmondi,Residential,204.0,121860.37384850386,26.960784313725483,319887942.33084536,21805258.891435362,6.816530417668318,178.93641881111853,29863977.315831497,0.9718647417243831,1553676.7944054287
Kalyanpur,Commercial,68.0,2845.228977924288,69.11764705882355,179788655.6928409,9057392.675482508,5.037799877071537,3183.3616013886694,14203415.323869301,0.9440720180170369,561594.2879143419
Kalyanpur,Educational,20.0,644.1544803297821,0.0,31303933.69948343,0.0,0.0,0.0,0.0,1.0,0.0
Kalyanpur,Government,12.0,520.1446066889106,0.0,32037803.721434996,0.0,0.0,0.0,0.0,1.0,0.0
Kalyanpur,Hospital,12.0,54.26807695745534,0.0,18866675.256807424,0.0,0.0,0.0,0.0,1.0,0.0
Kalyanpur,Industrial,16.0,605.5581382139187,93.75000000000003,35799950.37877679,2575578.289851349,7.194362736821624,4253.230412273814,3738637.9935187707,0.9229008160108,192689.05770780318
Kalyanpur,Residential,272.0,216332.7081211862,12.867647058823533,416554165.2985567,26796320.972254384,6.432853925022853,123.86624845117504,35320509.95603365,0.9829641340183779,1806877.7090452088
