substation,category,n_reps,connections,participation_pct,bill_baseline_tk,saving_tk,saving_pct,mean_saving_per_connection_tk,discomfort_tk,qoe_mean,curtailed_kwh
Dhanmondi,Commercial,96.0,3528.933699870044,100.0,247874096.79793492,33254413.435218915,13.415848555699494,9423.360216839306,50605318.09506655,0.8692195580428965,2063324.4157075041
Dhanmondi,Educational,36.0,1178.6226757857057,100.0,55293607.12271432,1774640.1523233233,3.209485227441981,1505.6898096248608,7185323.107312631,0.9684103976009847,187769.00524575164
Dhanmondi,Government,20.0,802.1669568601163,100.0,52177157.857688725,731108.1723595689,1.4012035196582373,911.4164652472231,1893124.7175032115,0.9871499563219768,45671.224893032646
Dhanmondi,Hospital,36.0,173.32898052918324,0.0,55385000.67367382,-10067.840935191183,-0.018177919676322644,-58.08515635673557,0.0,1.0,0.0
Dhanmondi,Industrial,8.0,115.82869586163048,100.0,8755069.57092015,747309.5565568879,8.535735216074888,6451.8515985851,1347024.5914902086,0.9016445012801859,55986.427230469075
Dhanmondi,Residential,204.0,121860.37384850386,100.0,319887942.33084536,47824506.042293236,14.950393470232946,392.4533015280947,76367977.07202551,0.9042408128261593,3860838.264833479
Kalyanpur,Commercial,68.0,2845.228977924288,100.0,179788655.6928409,24226688.589138847,13.475093017286262,8514.846705523581,38715312.02097486,0.8600683624123019,1503543.2463470004
Kalyanpur,Educational,20.0,644.1544803297821,100.0,31303933.69948343,1044524.1868610791,3.3367186274046943,1621.5429974597446,4222532.463008639,0.965870150728902,110698.78744390697
Kalyanpur,Government,12.0,520.1446066889106,100.0,32037803.721434996,235278.89623003546,0.734378980144077,452.3336264654411,627150.8283164582,0.9914160059205323,14872.614555317787
Kalyanpur,Hospital,12.0,54.26807695745534,0.0,18866675.256807424,-4650.672634005306,-0.024650197084021268,-85.69812852685573,0.0,1.0,0.0
Kalyanpur,Industrial,16.0,605.5581382139187,100.0,35799950.37877679,4215732.382013842,11.77580509863792,6961.730205539073,6649833.7145166565,0.875590026352288,315807.5980159886
Kalyanpur,Residential,272.0,216332.7081211862,99.26470588235293,416554165.2985567,55941621.69712553,13.429615247522616,258.590678140949,92819217.29920496,0.915254086271891,4587508.29763761
