substation,n,modal_clock,modal_share,entropy_bits,distinct_slots,half_hour_share,artefact_share,n_flags,verdict
Shyampur,1815,12:00,0.16639118457300275,3.5791648242199905,24,0.0005509641873278236,0.19117647058823528,2,QUESTIONABLE
Bangabhaban,2024,10:00,0.48023715415019763,2.5000260675299932,24,0.006422924901185771,0.04931892907468295,4,LIKELY_CONVENTION
Matual,1974,12:00,0.2553191489361702,3.2473614401501827,25,0.006585612968591692,0.13192612137203166,3,QUESTIONABLE
Dhaka University,574,13:00,0.5226480836236934,1.855555966578265,14,0.013937282229965157,0.012048192771084338,4,LIKELY_CONVENTION
Moghbazar,2277,13:00,0.26262626262626265,3.086141424084544,22,0.025472112428634168,0.014285714285714285,3,QUESTIONABLE
Dhanmondi,2285,13:00,0.6442013129102845,2.0436200119422003,19,0.026695842450765863,0.00996533795493934,6,LIKELY_CONVENTION
Maniknagar,2186,13:00,0.546203110704483,2.5965589220104586,20,0.026989935956084173,0.04790940766550523,5,LIKELY_CONVENTION
Motijheel,1634,13:00,0.5569155446756426,2.3529213236097726,19,0.027539779681762546,0.04107981220657277,5,LIKELY_CONVENTION
Narinda,2213,13:00,0.5549028468142793,2.566767073860253,22,0.03569814731134207,0.04240588489831242,4,LIKELY_CONVENTION
Gulshan,2169,13:00,0.4739511295527893,2.7600645213236477,25,0.04103273397879207,0.004589261128958238,5,LIKELY_CONVENTION
Postogola,914,13:00,0.5404814004376368,2.523572637736922,19,0.044857768052516414,0.1918656056587091,5,LIKELY_CONVENTION
Agargaon,2243,13:00,0.5737851092287115,2.537257379797557,23,0.05349977708426215,0.029004329004329005,6,LIKELY_CONVENTION
Banani,1568,13:00,0.41836734693877553,2.885427543521082,21,0.05612244897959184,0.021834061135371178,4,LIKELY_CONVENTION
Cantonment,1350,13:00,0.5103703703703704,2.6813457256767483,20,0.06444444444444444,0.037089871611982884,5,LIKELY_CONVENTION
Lalbag,2072,13:00,0.4753861003861004,2.833979038070158,22,0.06853281853281853,0.0995219469795741,4,LIKELY_CONVENTION
Aftabnagar,1678,13:00,0.35160905840286055,3.3045764818847947,22,0.07270560190703218,0.12785862785862787,4,LIKELY_CONVENTION
Uttara New,1978,13:00,0.20475227502527807,3.674340007612189,25,0.08695652173913043,0.12049799911071588,3,QUESTIONABLE
Madartek,1967,23:00,0.2338586680223691,3.2157627611866326,20,0.09811896288764616,0.14441061331013483,1,RELIABLE
Uttara,2257,13:00,0.3380593708462561,3.1898508175906,20,0.10190518387239698,0.01569995638901003,2,QUESTIONABLE
Bashundhara,1913,13:00,0.24098274960794563,3.6439405083894663,24,0.10402509147935181,0.13045454545454546,2,QUESTIONABLE
Savar,2198,12:00,0.2070063694267516,3.6856450057541554,23,0.10418562329390355,0.042682926829268296,1,RELIABLE
Purbachal,1147,13:00,0.24498692240627726,3.4505817517257276,21,0.10636442894507411,0.18071428571428572,2,QUESTIONABLE
Kamrangirchar,1459,13:00,0.35435229609321456,3.1490548913328937,23,0.113776559287183,0.09547427154370738,2,QUESTIONABLE
Metrorail Uttara,114,18:00,0.13157894736842105,3.914688244132893,21,0.11403508771929824,0.5648854961832062,0,RELIABLE
Metrorail Motijheel,259,17:00,0.12355212355212356,3.879283444461973,19,0.11969111969111969,0.011450381679389313,0,RELIABLE
Ullon,1967,13:00,0.15302491103202848,3.631347175852205,25,0.13116420945602442,0.14403829416884248,2,QUESTIONABLE
Kodda,1852,18:30,0.11987041036717062,3.983973889374656,25,0.16576673866090713,0.06841046277665996,1,RELIABLE
Hasnabad,1938,21:00,0.10732714138286893,3.882078330670846,24,0.17492260061919504,0.11344922232387923,0,RELIABLE
Kalyanpur,2009,18:00,0.1916376306620209,3.5018047901323475,22,0.17720258835241415,0.13067935958459542,1,RELIABLE
Mirpur,2230,18:00,0.17443946188340806,3.4149052541638127,20,0.20717488789237667,0.030856149500217298,1,RELIABLE
Keranigonj,1539,13:00,0.23261858349577647,3.48163238588391,23,0.23131903833658218,0.12755102040816327,2,QUESTIONABLE
