n_total,n_acting,n_topn,hits,precision,baseline_random,lift,date,precision_random_draw,precision_mean_relative,precision_no_phi2,precision_nextday,precision_nextday_random,precision_nextday_lift,precision_nextday_persistence,precision_nextday_persistence_lift
6250,1551,52,52,1.0,0.24816,4.029658284977434,2026-06-14,0.38461538461538464,1.0,0.7307692307692307,1.0,0.24656,4.055807916937054,1.0,4.055807916937054
6250,1541,52,52,1.0,0.24656,4.055807916937054,2026-06-15,0.36538461538461536,1.0,0.7307692307692307,1.0,0.23232,4.304407713498622,1.0,4.304407713498622
6250,1452,52,52,1.0,0.23232,4.304407713498622,2026-06-16,0.36538461538461536,1.0,0.7307692307692307,1.0,0.2648,3.776435045317221,1.0,3.776435045317221
6250,1655,52,52,1.0,0.2648,3.776435045317221,2026-06-17,0.4423076923076923,1.0,0.6538461538461539,1.0,0.24176,4.1363335539377895,0.9615384615384616,3.9772438018632594
6250,1511,52,52,1.0,0.24176,4.1363335539377895,2026-06-18,0.34615384615384615,1.0,0.7307692307692307,1.0,0.2232,4.480286738351254,0.9807692307692307,4.394127377998346
6250,1395,52,52,1.0,0.2232,4.480286738351254,2026-06-19,0.34615384615384615,1.0,0.7307692307692307,1.0,0.25088,3.985969387755102,1.0,3.985969387755102
6250,1568,52,52,1.0,0.25088,3.985969387755102,2026-06-20,0.4230769230769231,1.0,0.6538461538461539,1.0,0.24896,4.0167095115681235,0.9615384615384616,3.862220684200119
6250,1556,52,52,1.0,0.24896,4.0167095115681235,2026-06-21,0.38461538461538464,1.0,0.7307692307692307,1.0,0.24336,4.10913872452334,1.0,4.10913872452334
6250,1521,52,52,1.0,0.24336,4.10913872452334,2026-06-22,0.36538461538461536,1.0,0.7307692307692307,1.0,0.25216,3.965736040609137,1.0,3.965736040609137
6250,1576,52,52,1.0,0.25216,3.965736040609137,2026-06-23,0.4230769230769231,1.0,0.6538461538461539,1.0,0.26512,3.771876885938443,1.0,3.771876885938443
6250,1657,52,52,1.0,0.26512,3.771876885938443,2026-06-24,0.4423076923076923,1.0,0.6538461538461539,1.0,0.24384,4.101049868766404,0.9807692307692307,4.022183525136281
6250,1524,52,52,1.0,0.24384,4.101049868766404,2026-06-25,0.36538461538461536,1.0,0.7307692307692307,1.0,0.24112,4.147312541473125,1.0,4.147312541473125
6250,1507,52,52,1.0,0.24112,4.147312541473125,2026-06-26,0.4230769230769231,1.0,0.6538461538461539,1.0,0.25744,3.884400248601616,0.9615384615384616,3.735000239040015
6250,1609,52,52,1.0,0.25744,3.884400248601616,2026-06-27,0.4230769230769231,1.0,0.6538461538461539,1.0,0.27104,3.689492325855962,1.0,3.689492325855962
6250,1694,52,52,1.0,0.27104,3.689492325855962,2026-06-28,0.5,1.0,0.6730769230769231,1.0,0.27104,3.689492325855962,1.0,3.689492325855962
6250,1694,52,52,1.0,0.27104,3.689492325855962,2026-06-29,0.5,1.0,0.6730769230769231,1.0,0.28416,3.519144144144144,1.0,3.519144144144144
6250,1776,52,52,1.0,0.28416,3.519144144144144,2026-06-30,0.5192307692307693,1.0,0.6730769230769231,1.0,0.29488,3.3912099837221925,1.0,3.3912099837221925
6250,1843,52,52,1.0,0.29488,3.3912099837221925,2026-07-01,0.5,1.0,0.7307692307692307,1.0,0.29312,3.411572052401747,0.9615384615384616,3.2803577426939876
6250,1832,52,52,1.0,0.29312,3.411572052401747,2026-07-02,0.5,1.0,0.7307692307692307,1.0,0.2672,3.7425149700598803,0.9423076923076923,3.526600644864118
6250,1670,52,52,1.0,0.2672,3.7425149700598803,2026-07-03,0.4423076923076923,1.0,0.6730769230769231,1.0,0.2816,3.5511363636363633,1.0,3.5511363636363633
6250,1760,52,52,1.0,0.2816,3.5511363636363633,2026-07-04,0.5,1.0,0.6730769230769231,1.0,0.29872,3.347616497054098,1.0,3.347616497054098
6250,1867,52,52,1.0,0.29872,3.347616497054098,2026-07-05,0.5,1.0,0.7307692307692307,1.0,0.29584,3.380205516495403,1.0,3.380205516495403
6250,1849,52,52,1.0,0.29584,3.380205516495403,2026-07-06,0.5,1.0,0.7307692307692307,1.0,0.29104,3.4359538207806484,1.0,3.4359538207806484
6250,1819,52,52,1.0,0.29104,3.4359538207806484,2026-07-07,0.4807692307692308,1.0,0.7307692307692307,1.0,0.27728,3.6064627813040966,0.9423076923076923,3.398397620844245
6250,1733,52,52,1.0,0.27728,3.6064627813040966,2026-07-08,0.38461538461538464,1.0,0.7307692307692307,1.0,0.2728,3.6656891495601176,0.9807692307692307,3.595195127453192
6250,1705,52,52,1.0,0.2728,3.6656891495601176,2026-07-09,0.38461538461538464,1.0,0.7307692307692307,1.0,0.24976,4.003843689942345,0.9038461538461539,3.618858719755581
6250,1561,52,52,1.0,0.24976,4.003843689942345,2026-07-10,0.38461538461538464,1.0,0.7307692307692307,1.0,0.26768,3.7358039450089664,1.0,3.7358039450089664
6250,1673,52,52,1.0,0.26768,3.7358039450089664,2026-07-11,0.38461538461538464,1.0,0.7307692307692307,1.0,0.27632,3.6189924724956573,1.0,3.6189924724956573
6250,1727,52,52,1.0,0.27632,3.6189924724956573,2026-07-12,0.38461538461538464,1.0,0.7307692307692307,1.0,0.27568,3.6273940800928615,1.0,3.6273940800928615
6250,1723,52,52,1.0,0.27568,3.6273940800928615,2026-07-13,0.38461538461538464,1.0,0.7307692307692307,,,,,
