n_total,n_acting,n_topn,hits,precision,baseline_random,lift,date,precision_random_draw,precision_mean_relative,precision_no_phi2,precision_nextday,precision_nextday_random,precision_nextday_lift,precision_nextday_persistence,precision_nextday_persistence_lift
6250,640,52,52,1.0,0.1024,9.765625,2026-06-14,0.1346153846153846,1.0,0.2692307692307692,1.0,0.10272,9.735202492211837,1.0,9.735202492211837
6250,642,52,52,1.0,0.10272,9.735202492211837,2026-06-15,0.1346153846153846,1.0,0.2692307692307692,0.9807692307692307,0.10192,9.622932013041902,1.0,9.811616954474097
6250,637,52,52,1.0,0.10192,9.811616954474097,2026-06-16,0.1346153846153846,1.0,0.2692307692307692,1.0,0.11808,8.468834688346883,1.0,8.468834688346883
6250,738,52,52,1.0,0.11808,8.468834688346883,2026-06-17,0.15384615384615385,1.0,0.4230769230769231,0.8461538461538461,0.1024,8.263221153846153,0.8653846153846154,8.451021634615385
6250,640,52,52,1.0,0.1024,9.765625,2026-06-18,0.1346153846153846,1.0,0.2692307692307692,0.9807692307692307,0.10016,9.792025067584174,1.0,9.984025559105431
6250,626,52,52,1.0,0.10016,9.984025559105431,2026-06-19,0.1346153846153846,1.0,0.2692307692307692,1.0,0.11888,8.411843876177658,1.0,8.411843876177658
6250,743,52,52,1.0,0.11888,8.411843876177658,2026-06-20,0.15384615384615385,1.0,0.4230769230769231,0.8461538461538461,0.10352,8.17381999762216,0.8846153846153846,8.54535727024135
6250,647,52,52,1.0,0.10352,9.659969088098919,2026-06-21,0.1346153846153846,1.0,0.2692307692307692,0.9615384615384616,0.10192,9.43424707160971,1.0,9.811616954474097
6250,637,52,52,1.0,0.10192,9.811616954474097,2026-06-22,0.1346153846153846,1.0,0.2692307692307692,1.0,0.11888,8.411843876177658,1.0,8.411843876177658
6250,743,52,52,1.0,0.11888,8.411843876177658,2026-06-23,0.15384615384615385,1.0,0.4230769230769231,1.0,0.11808,8.468834688346883,0.9807692307692307,8.305972482801751
6250,738,52,52,1.0,0.11808,8.468834688346883,2026-06-24,0.15384615384615385,1.0,0.4230769230769231,0.8461538461538461,0.10352,8.17381999762216,0.8846153846153846,8.54535727024135
6250,647,52,52,1.0,0.10352,9.659969088098919,2026-06-25,0.1346153846153846,1.0,0.2692307692307692,1.0,0.11888,8.411843876177658,1.0,8.411843876177658
6250,743,52,52,1.0,0.11888,8.411843876177658,2026-06-26,0.15384615384615385,1.0,0.4230769230769231,1.0,0.12288,8.138020833333334,1.0,8.138020833333334
6250,768,52,52,1.0,0.12288,8.138020833333334,2026-06-27,0.15384615384615385,1.0,0.4230769230769231,1.0,0.12048,8.300132802124834,0.9807692307692307,8.140514863622434
6250,753,52,52,1.0,0.12048,8.300132802124834,2026-06-28,0.15384615384615385,1.0,0.4230769230769231,0.9807692307692307,0.11888,8.250077647789626,1.0,8.411843876177658
6250,743,52,52,1.0,0.11888,8.411843876177658,2026-06-29,0.15384615384615385,1.0,0.4230769230769231,1.0,0.11616,8.608815426997245,0.9807692307692307,8.443261284170374
6250,726,52,52,1.0,0.11616,8.608815426997245,2026-06-30,0.15384615384615385,1.0,0.4230769230769231,1.0,0.16,6.25,1.0,6.25
6250,1000,52,52,1.0,0.16,6.25,2026-07-01,0.23076923076923078,1.0,0.6730769230769231,1.0,0.15968,6.2625250501002006,1.0,6.2625250501002006
6250,998,52,52,1.0,0.15968,6.2625250501002006,2026-07-02,0.23076923076923078,1.0,0.6730769230769231,0.8653846153846154,0.11584,7.470516362090948,0.8076923076923077,6.972481937951551
6250,724,52,52,1.0,0.11584,8.632596685082873,2026-07-03,0.15384615384615385,1.0,0.4230769230769231,1.0,0.11584,8.632596685082873,1.0,8.632596685082873
6250,724,52,52,1.0,0.11584,8.632596685082873,2026-07-04,0.15384615384615385,1.0,0.4230769230769231,1.0,0.15888,6.294058408862035,1.0,6.294058408862035
6250,993,52,52,1.0,0.15888,6.294058408862035,2026-07-05,0.23076923076923078,1.0,0.6538461538461539,1.0,0.15888,6.294058408862035,1.0,6.294058408862035
6250,993,52,52,1.0,0.15888,6.294058408862035,2026-07-06,0.23076923076923078,1.0,0.6538461538461539,1.0,0.15968,6.2625250501002006,1.0,6.2625250501002006
6250,998,52,52,1.0,0.15968,6.2625250501002006,2026-07-07,0.23076923076923078,1.0,0.6730769230769231,0.8846153846153846,0.1448,6.109222269443263,0.8846153846153846,6.109222269443263
6250,905,52,52,1.0,0.1448,6.906077348066297,2026-07-08,0.21153846153846154,1.0,0.6730769230769231,1.0,0.1448,6.906077348066297,1.0,6.906077348066297
6250,905,52,52,1.0,0.1448,6.906077348066297,2026-07-09,0.21153846153846154,1.0,0.6730769230769231,0.4807692307692308,0.10112,4.754442551119767,0.7307692307692307,7.226752677702044
6250,632,52,52,1.0,0.10112,9.889240506329113,2026-07-10,0.1346153846153846,1.0,0.2692307692307692,1.0,0.14432,6.929046563192904,1.0,6.929046563192904
6250,902,52,52,1.0,0.14432,6.929046563192904,2026-07-11,0.21153846153846154,1.0,0.6730769230769231,1.0,0.1448,6.906077348066297,1.0,6.906077348066297
6250,905,52,52,1.0,0.1448,6.906077348066297,2026-07-12,0.21153846153846154,1.0,0.6730769230769231,1.0,0.1448,6.906077348066297,1.0,6.906077348066297
6250,905,52,52,1.0,0.1448,6.906077348066297,2026-07-13,0.21153846153846154,1.0,0.6730769230769231,,,,,
