n_total,n_acting,n_topn,hits,precision,baseline_random,lift,date,precision_random_draw,precision_mean_relative,precision_no_phi2,precision_nextday,precision_nextday_random,precision_nextday_lift
6250,2316,52,52,1.0,0.37056,2.6986183074265977,2026-06-14,0.5769230769230769,1.0,0.7307692307692307,1.0,0.34992,2.8577960676726106
6250,2187,52,52,1.0,0.34992,2.8577960676726106,2026-06-15,0.5384615384615384,1.0,0.7307692307692307,1.0,0.35568,2.8115159694107064
6250,2223,52,52,1.0,0.35568,2.8115159694107064,2026-06-16,0.5576923076923077,1.0,0.7307692307692307,1.0,0.3928,2.5458248472505094
6250,2455,52,52,1.0,0.3928,2.5458248472505094,2026-06-17,0.5769230769230769,1.0,0.9038461538461539,1.0,0.32176,3.1079065141720537
6250,2011,52,52,1.0,0.32176,3.1079065141720537,2026-06-18,0.5192307692307693,1.0,0.7307692307692307,1.0,0.29568,3.382034632034632
6250,1848,52,52,1.0,0.29568,3.382034632034632,2026-06-19,0.5,1.0,0.7307692307692307,1.0,0.3632,2.753303964757709
6250,2270,52,52,1.0,0.3632,2.753303964757709,2026-06-20,0.5576923076923077,1.0,0.8269230769230769,1.0,0.42272,2.3656320968962907
6250,2642,52,52,1.0,0.42272,2.3656320968962907,2026-06-21,0.5961538461538461,1.0,0.75,1.0,0.34016,2.9397930385700843
6250,2126,52,52,1.0,0.34016,2.9397930385700843,2026-06-22,0.5192307692307693,1.0,0.7307692307692307,1.0,0.37552,2.6629740093736682
6250,2347,52,52,1.0,0.37552,2.6629740093736682,2026-06-23,0.5769230769230769,1.0,0.9038461538461539,1.0,0.40624,2.461599054745963
6250,2539,52,52,1.0,0.40624,2.461599054745963,2026-06-24,0.5769230769230769,1.0,0.9038461538461539,1.0,0.37648,2.656183595410115
6250,2353,52,52,1.0,0.37648,2.656183595410115,2026-06-25,0.5576923076923077,1.0,0.75,1.0,0.37952,2.6349072512647553
6250,2372,52,52,1.0,0.37952,2.6349072512647553,2026-06-26,0.6153846153846154,1.0,0.9038461538461539,1.0,0.39504,2.5313892264074522
6250,2469,52,52,1.0,0.39504,2.5313892264074522,2026-06-27,0.6153846153846154,1.0,0.9038461538461539,1.0,0.5152,1.9409937888198758
6250,3220,52,52,1.0,0.5152,1.9409937888198758,2026-06-28,0.6923076923076923,1.0,0.9038461538461539,1.0,0.49728,2.0109395109395107
6250,3108,52,52,1.0,0.49728,2.0109395109395107,2026-06-29,0.6538461538461539,1.0,0.9038461538461539,1.0,0.55856,1.7903179604697796
6250,3491,52,52,1.0,0.55856,1.7903179604697796,2026-06-30,0.7692307692307693,1.0,0.9038461538461539,1.0,0.57968,1.7250897046646427
6250,3623,52,52,1.0,0.57968,1.7250897046646427,2026-07-01,0.8076923076923077,1.0,0.7692307692307693,1.0,0.55104,1.8147502903600465
6250,3444,52,52,1.0,0.55104,1.8147502903600465,2026-07-02,0.7692307692307693,1.0,0.7692307692307693,1.0,0.3848,2.598752598752599
6250,2405,52,52,1.0,0.3848,2.598752598752599,2026-07-03,0.5769230769230769,1.0,0.9038461538461539,1.0,0.48224,2.0736562707365627
6250,3014,52,52,1.0,0.48224,2.0736562707365627,2026-07-04,0.6346153846153846,1.0,0.9038461538461539,1.0,0.58512,1.7090511348099535
6250,3657,52,52,1.0,0.58512,1.7090511348099535,2026-07-05,0.8076923076923077,1.0,0.7692307692307693,1.0,0.56464,1.771039954661377
6250,3529,52,52,1.0,0.56464,1.771039954661377,2026-07-06,0.7884615384615384,1.0,0.7692307692307693,1.0,0.54208,1.844746162927981
6250,3388,52,52,1.0,0.54208,1.844746162927981,2026-07-07,0.75,1.0,0.7692307692307693,1.0,0.55712,1.7949454336588169
6250,3482,52,52,1.0,0.55712,1.7949454336588169,2026-07-08,0.7692307692307693,1.0,0.7692307692307693,1.0,0.51872,1.9278223318938927
6250,3242,52,52,1.0,0.51872,1.9278223318938927,2026-07-09,0.7307692307692307,1.0,0.7692307692307693,1.0,0.3736,2.676659528907923
6250,2335,52,52,1.0,0.3736,2.676659528907923,2026-07-10,0.5384615384615384,1.0,0.75,1.0,0.46992,2.1280217909431394
6250,2937,52,52,1.0,0.46992,2.1280217909431394,2026-07-11,0.6923076923076923,1.0,0.75,1.0,0.58528,1.7085839256424276
6250,3658,52,52,1.0,0.58528,1.7085839256424276,2026-07-12,0.8076923076923077,1.0,0.7692307692307693,1.0,0.55888,1.7892928714572
6250,3493,52,52,1.0,0.55888,1.7892928714572,2026-07-13,0.7692307692307693,1.0,0.7692307692307693,,,
