n_total,n_acting,n_topn,hits,precision,baseline_random,lift,date,precision_random_draw,precision_mean_relative,precision_no_phi2,precision_nextday,precision_nextday_random,precision_nextday_lift,precision_nextday_persistence,precision_nextday_persistence_lift
6250,1551,52,52,1.0,0.24816,4.029658284977434,2026-06-14,0.38461538461538464,1.0,0.7307692307692307,1.0,0.24656,4.055807916937054,1.0,4.055807916937054
6250,1541,52,52,1.0,0.24656,4.055807916937054,2026-06-15,0.36538461538461536,1.0,0.7307692307692307,0.9807692307692307,0.23232,4.221630642085187,1.0,4.304407713498622
6250,1452,52,52,1.0,0.23232,4.304407713498622,2026-06-16,0.36538461538461536,1.0,0.7307692307692307,1.0,0.2648,3.776435045317221,1.0,3.776435045317221
6250,1655,52,52,1.0,0.2648,3.776435045317221,2026-06-17,0.4423076923076923,1.0,0.6538461538461539,1.0,0.24176,4.1363335539377895,0.9615384615384616,3.9772438018632594
6250,1511,52,52,1.0,0.24176,4.1363335539377895,2026-06-18,0.34615384615384615,1.0,0.7307692307692307,0.9807692307692307,0.2232,4.394127377998346,0.9807692307692307,4.394127377998346
6250,1395,52,52,1.0,0.2232,4.480286738351254,2026-06-19,0.34615384615384615,1.0,0.7307692307692307,1.0,0.25088,3.985969387755102,1.0,3.985969387755102
6250,1568,52,52,1.0,0.25088,3.985969387755102,2026-06-20,0.4230769230769231,1.0,0.6538461538461539,1.0,0.24896,4.0167095115681235,0.9615384615384616,3.862220684200119
6250,1556,52,52,1.0,0.24896,4.0167095115681235,2026-06-21,0.38461538461538464,1.0,0.7307692307692307,1.0,0.24336,4.10913872452334,1.0,4.10913872452334
6250,1521,52,52,1.0,0.24336,4.10913872452334,2026-06-22,0.36538461538461536,1.0,0.7307692307692307,0.9807692307692307,0.25904,3.786169050220934,1.0,3.8604076590487955
6250,1619,52,52,1.0,0.25904,3.8604076590487955,2026-06-23,0.4807692307692308,1.0,0.6538461538461539,1.0,0.27296,3.6635404454865186,1.0,3.6635404454865186
6250,1706,52,52,1.0,0.27296,3.6635404454865186,2026-06-24,0.5,1.0,0.6538461538461539,1.0,0.24384,4.101049868766404,0.8269230769230769,3.3912527760952957
6250,1524,52,52,1.0,0.24384,4.101049868766404,2026-06-25,0.36538461538461536,1.0,0.7307692307692307,0.9807692307692307,0.25632,3.826346874099683,1.0,3.9013732833957553
6250,1602,52,52,1.0,0.25632,3.9013732833957553,2026-06-26,0.5,1.0,0.6730769230769231,1.0,0.27024,3.700414446417999,0.9807692307692307,3.6292526301407295
6250,1689,52,52,1.0,0.27024,3.700414446417999,2026-06-27,0.5,1.0,0.6538461538461539,1.0,0.29472,3.3930510314875137,1.0,3.3930510314875137
6250,1842,52,52,1.0,0.29472,3.3930510314875137,2026-06-28,0.5192307692307693,1.0,0.6923076923076923,1.0,0.2888,3.4626038781163433,0.9807692307692307,3.396015341998721
6250,1805,52,52,1.0,0.2888,3.4626038781163433,2026-06-29,0.5192307692307693,1.0,0.6923076923076923,1.0,0.30448,3.2842879663688915,1.0,3.2842879663688915
6250,1903,52,52,1.0,0.30448,3.2842879663688915,2026-06-30,0.5192307692307693,1.0,0.6923076923076923,1.0,0.31408,3.183902190524707,0.9807692307692307,3.1226733022453854
6250,1963,52,52,1.0,0.31408,3.183902190524707,2026-07-01,0.5192307692307693,1.0,0.7307692307692307,1.0,0.30352,3.294675803900896,1.0,3.294675803900896
6250,1897,52,52,1.0,0.30352,3.294675803900896,2026-07-02,0.5192307692307693,1.0,0.7307692307692307,1.0,0.27328,3.6592505854800934,0.9230769230769231,3.377769771212394
6250,1708,52,52,1.0,0.27328,3.6592505854800934,2026-07-03,0.5,1.0,0.6730769230769231,1.0,0.29168,3.428414701042238,1.0,3.428414701042238
6250,1823,52,52,1.0,0.29168,3.428414701042238,2026-07-04,0.5192307692307693,1.0,0.6923076923076923,1.0,0.3088,3.238341968911917,1.0,3.238341968911917
6250,1930,52,52,1.0,0.3088,3.238341968911917,2026-07-05,0.5192307692307693,1.0,0.7307692307692307,1.0,0.304,3.2894736842105265,0.9807692307692307,3.226214574898785
6250,1900,52,52,1.0,0.304,3.2894736842105265,2026-07-06,0.5192307692307693,1.0,0.7307692307692307,1.0,0.30032,3.329781566329249,0.9615384615384616,3.201713044547355
6250,1877,52,52,1.0,0.30032,3.329781566329249,2026-07-07,0.5192307692307693,1.0,0.7307692307692307,1.0,0.27728,3.6064627813040966,0.9038461538461539,3.2596875138710106
6250,1733,52,52,1.0,0.27728,3.6064627813040966,2026-07-08,0.38461538461538464,1.0,0.7307692307692307,1.0,0.2728,3.6656891495601176,0.9807692307692307,3.595195127453192
6250,1705,52,52,1.0,0.2728,3.6656891495601176,2026-07-09,0.38461538461538464,1.0,0.7307692307692307,1.0,0.24976,4.003843689942345,0.9038461538461539,3.618858719755581
6250,1561,52,52,1.0,0.24976,4.003843689942345,2026-07-10,0.38461538461538464,1.0,0.7307692307692307,1.0,0.26768,3.7358039450089664,1.0,3.7358039450089664
6250,1673,52,52,1.0,0.26768,3.7358039450089664,2026-07-11,0.38461538461538464,1.0,0.7307692307692307,1.0,0.29248,3.4190371991247264,1.0,3.4190371991247264
6250,1828,52,52,1.0,0.29248,3.4190371991247264,2026-07-12,0.40384615384615385,1.0,0.7307692307692307,1.0,0.27568,3.6273940800928615,0.9807692307692307,3.557636501629537
6250,1723,52,52,1.0,0.27568,3.6273940800928615,2026-07-13,0.38461538461538464,1.0,0.7307692307692307,,,,,
