date,rank,entity_id,kind,substation,chi,pool
2026-06-14,1,KLNC0116-A06,ap,Kalyanpur,0.2541147132169576,PH
2026-06-14,2,KLNC0132-A05,ap,Kalyanpur,0.21506297435267335,PH
2026-06-14,3,KLNC0135-A06,ap,Kalyanpur,0.180477605635129,PH
2026-06-14,4,KLNC0017-A05,ap,Kalyanpur,0.15185868221005097,PH
2026-06-14,5,DHNC0028-A06,ap,Dhanmondi,0.14259550439567414,PH
2026-06-14,6,DHNC0001-A06,ap,Dhanmondi,0.13880383534028756,PH
2026-06-14,7,KLNC0060-A05,ap,Kalyanpur,0.13702190752072135,PH
2026-06-14,8,KLNC0120-A05,ap,Kalyanpur,0.12788464962778207,PH
2026-06-14,9,DHNC0043-A06,ap,Dhanmondi,0.12666255641092838,PH
2026-06-14,10,KLNC0229-A06,ap,Kalyanpur,0.1160228566070139,PH
2026-06-14,11,KLNC0045-A06,ap,Kalyanpur,0.11425310477425059,PH
2026-06-14,12,DHNC0042-A04,ap,Dhanmondi,0.11336246697037494,PH
2026-06-14,13,KLNC0292-A02,ap,Kalyanpur,0.11009467025821201,PH
2026-06-14,14,DHNC0029-A04,ap,Dhanmondi,0.10884939053113864,PH
2026-06-14,15,DHNC0122-A05,ap,Dhanmondi,0.10513508956607663,PH
2026-06-14,16,KLNC0241-A04,ap,Kalyanpur,0.1024432960798281,PH
2026-06-14,17,KLNC0233-A05,ap,Kalyanpur,0.09713982775706935,PH
2026-06-14,18,KLNC0181-A06,ap,Kalyanpur,0.09670777942481781,PH
2026-06-14,19,DHNC0113-A06,ap,Dhanmondi,0.09476768659164374,PH
2026-06-14,20,DHNC0051-A05,ap,Dhanmondi,0.09435636795383569,PH
2026-06-14,21,KLNC0116-M,mt,Kalyanpur,0.26645885286783044,PH
2026-06-14,22,KLNC0132-M,mt,Kalyanpur,0.2364127020188661,PH
2026-06-14,23,KLNC0135-M,mt,Kalyanpur,0.19323233224900974,PH
2026-06-14,24,KLNC0017-M,mt,Kalyanpur,0.17193295661482666,PH
2026-06-14,25,DHNC0001-M,mt,Dhanmondi,0.15464545398612506,PH
2026-06-14,26,KLNC0060-M,mt,Kalyanpur,0.15284996815478497,PH
2026-06-14,27,DHNC0028-M,mt,Dhanmondi,0.15258368502756808,PH
2026-06-14,28,KLNC0120-M,mt,Kalyanpur,0.14761243398038218,PH
2026-06-14,29,DHNC0043-M,mt,Dhanmondi,0.1438787628936532,PH
2026-06-14,30,KLNC0229-M,mt,Kalyanpur,0.13167373760089518,PH
2026-06-14,31,KLNC0045-M,mt,Kalyanpur,0.13133098618260017,PH
2026-06-14,32,DHNC0042-M,mt,Dhanmondi,0.12910669418265752,PH
2026-06-14,33,KLNC0292-M,mt,Kalyanpur,0.12029493437516692,PH
2026-06-14,34,DHNC0029-M,mt,Dhanmondi,0.11948197959401345,PH
2026-06-14,35,KLNC0339-M,mt,Kalyanpur,0.11892157417812703,PH
2026-06-14,36,KLNC0241-M,mt,Kalyanpur,0.11849798728578352,PH
2026-06-14,37,KLNC0181-M,mt,Kalyanpur,0.11612407930807822,PH
2026-06-14,38,DHNC0122-M,mt,Dhanmondi,0.11498601356482269,PH
2026-06-14,39,KLNC0180-M,mt,Kalyanpur,0.10935324378471982,PH
2026-06-14,40,DHNC0015-M,mt,Dhanmondi,0.10784266935205401,PH
2026-06-14,41,KLNC0233-M,mt,Kalyanpur,0.10682963598111211,PH
2026-06-14,42,KLNC0324-M,mt,Kalyanpur,0.10643760475865408,PH
2026-06-14,43,DHNC0051-M,mt,Dhanmondi,0.10561983011857551,PH
2026-06-14,44,DHNC0113-M,mt,Dhanmondi,0.1055695568172667,PH
2026-06-14,45,DHNC0017-M,mt,Dhanmondi,0.10392065544697698,PH
2026-06-14,46,KLNC0282-M,mt,Kalyanpur,0.10373899478396423,PH
2026-06-14,47,DHNC0021-M,mt,Dhanmondi,0.10259674397831335,PH
2026-06-14,48,KLNC0190-M,mt,Kalyanpur,0.10095039755175553,PH
2026-06-14,49,KLNC0331-M,mt,Kalyanpur,0.10035084753009046,PH
2026-06-14,50,KLNC0167-M,mt,Kalyanpur,0.09912618478208168,PH
2026-06-14,51,SB-Kalyanpur,sb,Kalyanpur,0.8,PH
2026-06-14,52,SB-Dhanmondi,sb,Dhanmondi,0.7817522588309908,PH
2026-06-15,1,KLNC0116-A06,ap,Kalyanpur,0.2541147132169576,PH
2026-06-15,2,KLNC0132-A05,ap,Kalyanpur,0.21516703028138093,PH
2026-06-15,3,KLNC0135-A06,ap,Kalyanpur,0.180468156246557,PH
2026-06-15,4,KLNC0017-A05,ap,Kalyanpur,0.15160436089865317,PH
2026-06-15,5,DHNC0028-A06,ap,Dhanmondi,0.14419649053234482,PH
2026-06-15,6,DHNC0001-A06,ap,Dhanmondi,0.14047884244353107,PH
2026-06-15,7,KLNC0060-A05,ap,Kalyanpur,0.13674768827646056,PH
2026-06-15,8,KLNC0120-A05,ap,Kalyanpur,0.12794303280323266,PH
2026-06-15,9,DHNC0043-A06,ap,Dhanmondi,0.12782387960123556,PH
2026-06-15,10,KLNC0229-A06,ap,Kalyanpur,0.11566754373388977,PH
2026-06-15,11,DHNC0042-A04,ap,Dhanmondi,0.11469902846152111,PH
2026-06-15,12,KLNC0045-A06,ap,Kalyanpur,0.11339940323175689,PH
2026-06-15,13,DHNC0029-A04,ap,Dhanmondi,0.10998491899331149,PH
2026-06-15,14,KLNC0292-A02,ap,Kalyanpur,0.10974029184076667,PH
2026-06-15,15,DHNC0122-A05,ap,Dhanmondi,0.10632043905192225,PH
2026-06-15,16,KLNC0241-A04,ap,Kalyanpur,0.10185712953933249,PH
2026-06-15,17,KLNC0233-A05,ap,Kalyanpur,0.09659257358546731,PH
2026-06-15,18,KLNC0181-A06,ap,Kalyanpur,0.09654191519405228,PH
2026-06-15,19,DHNC0113-A06,ap,Dhanmondi,0.09587638277288534,PH
