date,rank,entity_id,kind,substation,chi,pool
2026-06-14,1,KLNC0135-A06,ap,Kalyanpur,0.2541147132169576,PH
2026-06-14,2,KLNC0017-A05,ap,Kalyanpur,0.21354648053394495,PH
2026-06-14,3,DHNC0028-A06,ap,Dhanmondi,0.20041563185120018,PH
2026-06-14,4,KLNC0060-A05,ap,Kalyanpur,0.1925148813042295,PH
2026-06-14,5,KLNC0120-A05,ap,Kalyanpur,0.17956252810841936,PH
2026-06-14,6,KLNC0229-A06,ap,Kalyanpur,0.16274805985757715,PH
2026-06-14,7,KLNC0045-A06,ap,Kalyanpur,0.16023938044024388,PH
2026-06-14,8,KLNC0292-A02,ap,Kalyanpur,0.15434466747225375,PH
2026-06-14,9,DHNC0122-A05,ap,Dhanmondi,0.14731430436109572,PH
2026-06-14,10,KLNC0241-A04,ap,Kalyanpur,0.1434986016226392,PH
2026-06-14,11,KLNC0181-A06,ap,Kalyanpur,0.1353683246460475,PH
2026-06-14,12,DHNC0113-A06,ap,Dhanmondi,0.13261818145184606,PH
2026-06-14,13,DHNC0051-A05,ap,Dhanmondi,0.13203512422227762,PH
2026-06-14,14,DHNC0017-A05,ap,Dhanmondi,0.13008395899168942,PH
2026-06-14,15,DHNC0021-A06,ap,Dhanmondi,0.12880824743791533,PH
2026-06-14,16,KLNC0180-A06,ap,Kalyanpur,0.12815406901029544,PH
2026-06-14,17,KLNC0167-A04,ap,Kalyanpur,0.12175285092484107,PH
2026-06-14,18,KLNC0339-A04,ap,Kalyanpur,0.11853239527905297,PH
2026-06-14,19,KLNC0174-A06,ap,Kalyanpur,0.11802432187281217,PH
2026-06-14,20,DHNC0141-A06,ap,Dhanmondi,0.1143573578586115,PH
2026-06-14,21,KLNC0135-M,mt,Kalyanpur,0.26645885286783044,PH
2026-06-14,22,KLNC0017-M,mt,Kalyanpur,0.2369045976173981,PH
2026-06-14,23,KLNC0060-M,mt,Kalyanpur,0.20991668556344573,PH
2026-06-14,24,DHNC0028-M,mt,Dhanmondi,0.20897193887521961,PH
2026-06-14,25,KLNC0120-M,mt,Kalyanpur,0.20250955895042452,PH
2026-06-14,26,KLNC0229-M,mt,Kalyanpur,0.17940026966913855,PH
2026-06-14,27,KLNC0045-M,mt,Kalyanpur,0.17891553714662606,PH
2026-06-14,28,KLNC0292-M,mt,Kalyanpur,0.1667168708367082,PH
2026-06-14,29,KLNC0339-M,mt,Kalyanpur,0.1630701350042817,PH
2026-06-14,30,KLNC0241-M,mt,Kalyanpur,0.1619029231509226,PH
2026-06-14,31,KLNC0181-M,mt,Kalyanpur,0.15740933196279996,PH
2026-06-14,32,DHNC0122-M,mt,Dhanmondi,0.1563679933013055,PH
2026-06-14,33,KLNC0180-M,mt,Kalyanpur,0.147833750338423,PH
2026-06-14,34,DHNC0051-M,mt,Dhanmondi,0.14312196867273164,PH
2026-06-14,35,DHNC0113-M,mt,Dhanmondi,0.14248271156736633,PH
2026-06-14,36,DHNC0017-M,mt,Dhanmondi,0.14071892909130415,PH
2026-06-14,37,DHNC0021-M,mt,Dhanmondi,0.13827844284821217,PH
2026-06-14,38,KLNC0167-M,mt,Kalyanpur,0.13450655892887473,PH
2026-06-14,39,KLNC0174-M,mt,Kalyanpur,0.12969684868008247,PH
2026-06-14,40,KLNC0291-M,mt,Kalyanpur,0.12769821225080866,PH
2026-06-14,41,DHNC0141-M,mt,Dhanmondi,0.1276666376894809,PH
2026-06-14,42,DHNC0167-M,mt,Dhanmondi,0.12725321247010643,PH
2026-06-14,43,KLNC0130-M,mt,Kalyanpur,0.12609805745456915,PH
2026-06-14,44,KLNC0175-M,mt,Kalyanpur,0.12189475411850186,PH
2026-06-14,45,KLNC0093-M,mt,Kalyanpur,0.1216967840822041,PH
2026-06-14,46,DHNC0086-M,mt,Dhanmondi,0.1192571149381476,PH
2026-06-14,47,KLNC0067-M,mt,Kalyanpur,0.11713296746816727,PH
2026-06-14,48,KLNC0146-M,mt,Kalyanpur,0.11673815391006785,PH
2026-06-14,49,KLNC0037-M,mt,Kalyanpur,0.1158630691604546,PH
2026-06-14,50,KLNC0277-M,mt,Kalyanpur,0.10864426024256238,PH
2026-06-14,51,SB-Kalyanpur,sb,Kalyanpur,0.8,PH
2026-06-14,52,SB-Dhanmondi,sb,Dhanmondi,0.6968202985204018,PH
2026-06-15,1,KLNC0135-A06,ap,Kalyanpur,0.2541147132169576,PH
2026-06-15,2,KLNC0017-A05,ap,Kalyanpur,0.21319717447763842,PH
2026-06-15,3,DHNC0028-A06,ap,Dhanmondi,0.20269572035368205,PH
2026-06-15,4,KLNC0060-A05,ap,Kalyanpur,0.19213624086759962,PH
2026-06-15,5,KLNC0120-A05,ap,Kalyanpur,0.17965469341100967,PH
2026-06-15,6,KLNC0229-A06,ap,Kalyanpur,0.16225286549874918,PH
2026-06-15,7,KLNC0045-A06,ap,Kalyanpur,0.15903753204229917,PH
2026-06-15,8,KLNC0292-A02,ap,Kalyanpur,0.15385034753355092,PH
2026-06-15,9,DHNC0122-A05,ap,Dhanmondi,0.14900233786317774,PH
2026-06-15,10,KLNC0241-A04,ap,Kalyanpur,0.1426751158992711,PH
2026-06-15,11,KLNC0181-A06,ap,Kalyanpur,0.13514022707888657,PH
2026-06-15,12,DHNC0113-A06,ap,Dhanmondi,0.1341967631893621,PH
2026-06-15,13,DHNC0051-A05,ap,Dhanmondi,0.1334030319679534,PH
2026-06-15,14,DHNC0017-A05,ap,Dhanmondi,0.1317810630417612,PH
2026-06-15,15,DHNC0021-A06,ap,Dhanmondi,0.13023796485375705,PH
2026-06-15,16,KLNC0180-A06,ap,Kalyanpur,0.12753592414887877,PH
2026-06-15,17,KLNC0167-A04,ap,Kalyanpur,0.12047500255167792,PH
2026-06-15,18,KLNC0339-A04,ap,Kalyanpur,0.11810534233232006,PH
2026-06-15,19,KLNC0174-A06,ap,Kalyanpur,0.11770899458556175,PH
2026-06-15,20,DHNC0141-A06,ap,Dhanmondi,0.1156535520920692,PH
2026-06-15,21,KLNC0135-M,mt,Kalyanpur,0.26645885286783044,PH
2026-06-15,22,KLNC0017-M,mt,Kalyanpur,0.23653463401157623,PH
2026-06-15,23,DHNC0028-M,mt,Dhanmondi,0.21120803067263308,PH
2026-06-15,24,KLNC0060-M,mt,Kalyanpur,0.2095251238612457,PH
2026-06-15,25,KLNC0120-M,mt,Kalyanpur,0.2026080146131345,PH
2026-06-15,26,KLNC0229-M,mt,Kalyanpur,0.17889162711618126,PH
2026-06-15,27,KLNC0045-M,mt,Kalyanpur,0.17766494485260606,PH
2026-06-15,28,KLNC0292-M,mt,Kalyanpur,0.16619538027119013,PH
2026-06-15,29,KLNC0339-M,mt,Kalyanpur,0.1616269281040689,PH
2026-06-15,30,KLNC0241-M,mt,Kalyanpur,0.16102742702855316,PH
2026-06-15,31,DHNC0122-M,mt,Dhanmondi,0.1580334070941404,PH
2026-06-15,32,KLNC0181-M,mt,Kalyanpur,0.15716438280656972,PH
2026-06-15,33,KLNC0180-M,mt,Kalyanpur,0.14717904911661167,PH
2026-06-15,34,DHNC0051-M,mt,Dhanmondi,0.1444910984192522,PH
2026-06-15,35,DHNC0113-M,mt,Dhanmondi,0.14403083291044755,PH
2026-06-15,36,DHNC0017-M,mt,Dhanmondi,0.14241148489039307,PH
2026-06-15,37,DHNC0021-M,mt,Dhanmondi,0.13967520804918102,PH
2026-06-15,38,KLNC0167-M,mt,Kalyanpur,0.13319446412798702,PH
2026-06-15,39,KLNC0174-M,mt,Kalyanpur,0.1293833805674755,PH
2026-06-15,40,DHNC0141-M,mt,Dhanmondi,0.12897417970164854,PH
2026-06-15,41,DHNC0167-M,mt,Dhanmondi,0.12866935654194764,PH
2026-06-15,42,KLNC0291-M,mt,Kalyanpur,0.12678845401141647,PH
2026-06-15,43,KLNC0130-M,mt,Kalyanpur,0.12548951412676615,PH
2026-06-15,44,KLNC0175-M,mt,Kalyanpur,0.12127973925926455,PH
2026-06-15,45,KLNC0093-M,mt,Kalyanpur,0.12095442704843119,PH
2026-06-15,46,DHNC0086-M,mt,Dhanmondi,0.12025742709428469,PH
2026-06-15,47,KLNC0067-M,mt,Kalyanpur,0.11652911163222666,PH
2026-06-15,48,KLNC0146-M,mt,Kalyanpur,0.11643157418561449,PH
2026-06-15,49,KLNC0037-M,mt,Kalyanpur,0.115585087198024,PH
