date,rank,entity_id,kind,substation,chi,pool
2026-06-14,1,KLNC0174-A06,ap,Kalyanpur,0.2541147132169576,PH
2026-06-14,2,KLNC0093-A06,ap,Kalyanpur,0.21489706424811064,PH
2026-06-14,3,KLNC0135-A06,ap,Kalyanpur,0.2135504050707181,PH
2026-06-14,4,KLNC0175-A06,ap,Kalyanpur,0.19987627147100245,PH
2026-06-14,5,KLNC0045-A06,ap,Kalyanpur,0.19630644357922572,PH
2026-06-14,6,KLNC0203-A05,ap,Kalyanpur,0.1920470678345044,PH
2026-06-14,7,DHNC0122-A05,ap,Dhanmondi,0.18311737268395029,PH
2026-06-14,8,KLNC0041-A06,ap,Kalyanpur,0.17804794126319023,PH
2026-06-14,9,DHNC0267-A03,ap,Dhanmondi,0.16971671972457297,PH
2026-06-14,10,KLNC0167-A04,ap,Kalyanpur,0.16699076213581526,PH
2026-06-14,11,KLNC0155-A05,ap,Kalyanpur,0.16405359262097055,PH
2026-06-14,12,KLNC0067-A05,ap,Kalyanpur,0.16388904346864894,PH
2026-06-14,13,KLNC0060-A05,ap,Kalyanpur,0.16087961104092596,PH
2026-06-14,14,DHNC0021-A06,ap,Dhanmondi,0.15792013757065598,PH
2026-06-14,15,DHNC0185-A05,ap,Dhanmondi,0.15786606646331341,PH
2026-06-14,16,KLNC0180-A06,ap,Kalyanpur,0.15585434047487548,PH
2026-06-14,17,KLNC0037-A05,ap,Kalyanpur,0.15478309106270802,PH
2026-06-14,18,KLNC0229-A06,ap,Kalyanpur,0.1538404867894359,PH
2026-06-14,19,DHNC0051-A05,ap,Dhanmondi,0.15188364689494183,PH
2026-06-14,20,DHNC0028-A06,ap,Dhanmondi,0.14902753523257858,PH
2026-06-14,21,KLNC0174-M,mt,Kalyanpur,0.26645885286783044,PH
2026-06-14,22,KLNC0135-M,mt,Kalyanpur,0.22713670464811392,PH
2026-06-14,23,KLNC0093-M,mt,Kalyanpur,0.2257637575132511,PH
2026-06-14,24,KLNC0045-M,mt,Kalyanpur,0.21763150520964375,PH
2026-06-14,25,KLNC0175-M,mt,Kalyanpur,0.21281853234587214,PH
