date,rank,entity_id,kind,substation,chi,pool
2026-06-14,1,KLNC0174-A06,ap,Kalyanpur,0.2511221945137157,PH
2026-06-14,2,KLNC0116-A06,ap,Kalyanpur,0.23335303232615592,PH
2026-06-14,3,KLNC0093-A06,ap,Kalyanpur,0.21190454554486873,PH
2026-06-14,4,KLNC0135-A06,ap,Kalyanpur,0.21055788636747622,PH
2026-06-14,5,KLNC0132-A05,ap,Kalyanpur,0.20563078352312014,PH
2026-06-14,6,KLNC0175-A06,ap,Kalyanpur,0.19688375276776054,PH
2026-06-14,7,KLNC0045-A06,ap,Kalyanpur,0.19331392487598376,PH
2026-06-14,8,KLNC0203-A05,ap,Kalyanpur,0.1890545491312625,PH
2026-06-14,9,DHNC0122-A05,ap,Dhanmondi,0.18012485398070838,PH
2026-06-14,10,KLNC0041-A06,ap,Kalyanpur,0.17505542255994833,PH
2026-06-14,11,KLNC0125-A06,ap,Kalyanpur,0.17497289111368805,PH
2026-06-14,12,DHNC0267-A03,ap,Dhanmondi,0.166724201021331,PH
2026-06-14,13,DHNC0001-A06,ap,Dhanmondi,0.1664456242121011,PH
2026-06-14,14,KLNC0167-A04,ap,Kalyanpur,0.16399824343257338,PH
2026-06-14,15,KLNC0155-A05,ap,Kalyanpur,0.16106107391772856,PH
2026-06-14,16,KLNC0067-A05,ap,Kalyanpur,0.16089652476540708,PH
2026-06-14,17,KLNC0060-A05,ap,Kalyanpur,0.15788709233768405,PH
2026-06-14,18,DHNC0021-A06,ap,Dhanmondi,0.15492761886741407,PH
2026-06-14,19,DHNC0185-A05,ap,Dhanmondi,0.15487354776007148,PH
2026-06-14,20,KLNC0180-A06,ap,Kalyanpur,0.15286182177163357,PH
2026-06-14,21,KLNC0174-M,mt,Kalyanpur,0.25448877805486286,PH
2026-06-14,22,KLNC0116-M,mt,Kalyanpur,0.23755437804491786,PH
2026-06-14,23,KLNC0132-M,mt,Kalyanpur,0.22041536660522756,PH
2026-06-14,24,KLNC0135-M,mt,Kalyanpur,0.21516662983514637,PH
2026-06-14,25,KLNC0093-M,mt,Kalyanpur,0.2137936827002835,PH
2026-06-14,26,KLNC0045-M,mt,Kalyanpur,0.20566143039667614,PH
2026-06-14,27,KLNC0175-M,mt,Kalyanpur,0.20084845753290456,PH
2026-06-14,28,KLNC0203-M,mt,Kalyanpur,0.19272259750602683,PH
2026-06-14,29,KLNC0041-M,mt,Kalyanpur,0.18711241541037882,PH
2026-06-14,30,DHNC0122-M,mt,Dhanmondi,0.18176616641191334,PH
2026-06-14,31,KLNC0125-M,mt,Kalyanpur,0.18130780969742993,PH
2026-06-14,32,DHNC0267-M,mt,Dhanmondi,0.17835905502524238,PH
2026-06-14,33,KLNC0155-M,mt,Kalyanpur,0.17766449474135146,PH
2026-06-14,34,DHNC0001-M,mt,Dhanmondi,0.17471486158147137,PH
2026-06-14,35,KLNC0167-M,mt,Kalyanpur,0.171973691717779,PH
2026-06-14,36,KLNC0060-M,mt,Kalyanpur,0.16719077874627625,PH
2026-06-14,37,KLNC0180-M,mt,Kalyanpur,0.16615529681563515,PH
2026-06-14,38,KLNC0118-M,mt,Kalyanpur,0.16250860608425113,PH
2026-06-14,39,KLNC0067-M,mt,Kalyanpur,0.16009856690624366,PH
2026-06-14,40,DHNC0185-M,mt,Dhanmondi,0.1599385595426586,PH
2026-06-14,41,KLNC0190-M,mt,Kalyanpur,0.1597564938620281,PH
2026-06-14,42,KLNC0229-M,mt,Kalyanpur,0.15919285286941665,PH
2026-06-14,43,KLNC0037-M,mt,Kalyanpur,0.1562453650389248,PH
2026-06-14,44,KLNC0022-M,mt,Kalyanpur,0.15603951223644216,PH
