date,rank,entity_id,kind,substation,chi,pool
2026-06-14,1,KLNC0310-A04,ap,Kalyanpur,0.2541147132169576,PH
2026-06-14,2,KLNC0346-A01,ap,Kalyanpur,0.23798925608990623,PH
2026-06-14,3,KLNC0324-A03,ap,Kalyanpur,0.23040085411684463,PH
2026-06-14,4,KLNC0321-A03,ap,Kalyanpur,0.21753440381874148,PH
2026-06-14,5,KLNC0344-A01,ap,Kalyanpur,0.19445556329274974,PH
2026-06-14,6,KLNC0301-A03,ap,Kalyanpur,0.1943910738885841,PH
2026-06-14,7,KLNC0310-A03,ap,Kalyanpur,0.1916147132169576,PH
2026-06-14,8,KLNC0288-A04,ap,Kalyanpur,0.19047119194509987,PH
2026-06-14,9,KLNC0326-A04,ap,Kalyanpur,0.18589453112105633,PH
2026-06-14,10,KLNC0339-A03,ap,Kalyanpur,0.1831570472146332,PH
2026-06-14,11,KLNC0331-A02,ap,Kalyanpur,0.1817827704346636,PH
2026-06-14,12,KLNC0296-A04,ap,Kalyanpur,0.1807135951723408,PH
2026-06-14,13,KLNC0275-A04,ap,Kalyanpur,0.17909142276782047,PH
2026-06-14,14,KLNC0277-A04,ap,Kalyanpur,0.17556766024184833,PH
2026-06-14,15,KLNC0305-A03,ap,Kalyanpur,0.17405736966594135,PH
2026-06-14,16,KLNC0324-A02,ap,Kalyanpur,0.1738293188918729,PH
2026-06-14,17,KLNC0312-A02,ap,Kalyanpur,0.1653007465534326,PH
2026-06-14,18,KLNC0337-A03,ap,Kalyanpur,0.15880517975653405,PH
2026-06-14,19,KLNC0343-A02,ap,Kalyanpur,0.15204146968697144,PH
2026-06-14,20,KLNC0341-A02,ap,Kalyanpur,0.14770672009860245,PH
2026-06-14,21,KLNC0310-M,mt,Kalyanpur,0.263715710723192,PH
2026-06-14,22,KLNC0324-M,mt,Kalyanpur,0.23725870947844063,PH
2026-06-14,23,KLNC0301-M,mt,Kalyanpur,0.2012489292501801,PH
2026-06-14,24,KLNC0288-M,mt,Kalyanpur,0.19870061837901512,PH
