date,frac_changed,alpha_P_max,trigger_alpha_w,trigger_frac_changed,active_rule,rules_agree
2026-06-14,1.0,,True,True,alpha_w,True
2026-06-15,0.00256,0.0015999999999999903,False,False,alpha_w,True
2026-06-16,0.01904,0.01328,True,False,alpha_w,False
2026-06-17,0.51296,0.5825600000000001,True,True,alpha_w,True
2026-06-18,0.52672,0.5825600000000001,True,True,alpha_w,True
2026-06-19,0.02384,0.015840000000000007,True,False,alpha_w,False
2026-06-20,0.50736,0.5830400000000001,True,True,alpha_w,True
2026-06-21,0.5296,0.5830400000000001,True,True,alpha_w,True
2026-06-22,0.00432,0.0032000000000000084,False,False,alpha_w,True
2026-06-23,0.5296,0.5820800000000002,True,True,alpha_w,True
2026-06-24,0.00224,0.0043199999999999905,False,False,alpha_w,True
2026-06-25,0.52576,0.5820800000000002,True,True,alpha_w,True
2026-06-26,0.52576,0.5816000000000001,True,True,alpha_w,True
2026-06-27,0.00112,0.0020799999999999708,False,False,alpha_w,True
2026-06-28,0.00624,0.008319999999999994,False,False,alpha_w,True
2026-06-29,0.00624,0.008319999999999994,False,False,alpha_w,True
2026-06-30,0.00832,0.01040000000000002,True,False,alpha_w,False
2026-07-01,0.54544,0.3745600000000001,True,True,alpha_w,True
2026-07-02,0.00208,0.0017599999999999838,False,False,alpha_w,True
2026-07-03,0.54816,0.37968000000000013,True,True,alpha_w,True
2026-07-04,0.00304,0.0030400000000000427,False,False,alpha_w,True
2026-07-05,0.55232,0.38080000000000014,True,True,alpha_w,True
2026-07-06,0.00416,0.0025600000000000067,False,False,alpha_w,True
2026-07-07,0.00736,0.005759999999999987,False,False,alpha_w,True
2026-07-08,0.54992,0.34912,True,True,alpha_w,True
2026-07-09,0.00096,0.0,False,False,alpha_w,True
2026-07-10,0.53152,0.48160000000000014,True,True,alpha_w,True
2026-07-11,0.53152,0.48160000000000014,True,True,alpha_w,True
2026-07-12,0.01216,0.0,False,False,alpha_w,True
2026-07-13,0.01088,0.0,False,False,alpha_w,True
